"","Compound","RT","Type","Filename","Status","Area"
"100","PE (40:5-22:5_18:0)","13.33","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",46716605
"101","PE (40:6-22:5_18:1)","12.48","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",686881
"102","PI (36:1-18:1_18:0)","12.66","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"103","PI (36:2-18:2_18:0)","12.03","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",3155632
"104","PI (38:4-18:0_20:4)","11.98","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",12520131
"105","PI (38:5-18:0_20:5)","11.4","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",7780402
"106","P-PC (32:0)_nurExactMass","12.25","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",1774203
"107","P-PC (34:0)","13.71","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"108","P-PE (34:1-P16:0_18:1)","13.96","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",36669211
"109","P-PE (34:2-P16:0_18:2)","13.01","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",133219588
"110","P-PE (34:3-P16:0_18:3)","12.25","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",46620446
"111","P-PE (36:0)_nurExactmass","15.31","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",3255390
"112","P-PE (36:1-P18:0_18:1)","15.25","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",30486023
"113","P-PE (36:2-P18:0_18:2)","14.19","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",218146873
"114","P-PE (36:2-P18:1_18:1)","14.16","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",218243366
"115","P-PE (36:3-18:2_P18:1ev18:3_18:0)","13.31","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",146211898
"116","P-PE (36:4-P16:0_20:4)_12.94","12.90,12.35","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",76654165
"117","P-PE (36:4-P16:0_20:4ev18:3_P18:1ev18:2_P18:2)_12.52","12.52","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",16320464
"118","P-PE (36:4-P18:1_18:3)_12.41","12.41","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",8885449
"119","P-PE (36:5-P16:0_20:5)","12.15","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",32474669
"120","P-PE (38:3-P18:0_20:3)_14.52","14.52","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",21685826
"121","P-PE (38:3-P18:0_20:3)_15.01","15.01","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",1392104
"122","P-PE (38:4-P18:0_20:4)","13.61","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",19358712
"123","P-PE (38:4-P18:0_20:4evP18:1_20:3)","14.03","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",106653168
"124","P-PE (38:5-P16:0_22:5)","12.86,12.85","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",71959122
"125","P-PE (38:5-P18:0_20:5)","13.19","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",76145759
"126","P-PE (38:5-P18:1_20:4ev18:0_20:5)","12.61","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"127","P-PE (38:6-P18:0_20:6)","12.54","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",2233534
"128","P-PE (38:6-P18:1_20:5)","12.36","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",5404246
"129","P-PE (40:4-P18:0_22:4)","14.91","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",2717708
"130","P-PE (40:5-P18:0_22:5)","13.98","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",47927639
"131","P-PE (40:6-P18:0_22:6)","13.6","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",2858123
"132","P-PE (40:6-P18:1_22:5)","13.09","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",6589353
"133","dCer (15:0)","12.98","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"134","dCholEster (33:1)_19.11","19.11,19.11,19.11","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"135","dCholesterol (33:1)_11.21","11.21,11.21,11.21","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"136","dDG (33:1)","15.58,15.58","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",755936
"137","dLPC (18:1)_1","4.28,4.28,4.28","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"138","dLPC (18:1)_2","4.55,4.55,4.55","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",27624
"139","dLPE (18:1)_1","4.44,4.44,4.44","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"140","dLPE (18:1)_2","4.69,4.69,4.69","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"141","dMG (18:1)","6.98,6.98,6.98","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",64709
"142","dPA (33:1)","14.68,14.68,14.68","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",112429669
"143","dPC (33:1)","12.41,12.41,12.41","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",1476562
"144","dPE (33:1)","12.71,12.71,12.71","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"145","dPG (33:1)","11.74,11.74,11.74","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",1199811
"146","dPI (33:1)","11.43,11.43,11.43","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",463334319
"147","dPS (33:1)","11.52,11.52,11.52","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",616346
"148","dPS (33:1)-h2o","11.52,11.52,11.52","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",639787
"149","dSM (18:1)","11.93","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"150","dTG (48:1)","19.07,19.07,19.07","Internal Standard","190729_fleisch_fisch_probe6_1_pos","Processed",48022769
"151","LPC (16:0)_1","4.21","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"152","LPC (16:0)_2","3.93","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",2775399
"153","LPC (16:1)_1","2.99","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",8285819
"154","LPC (16:1)_2","3.24","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"155","LPC (18:0)","5.67","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",2518477
"156","LPC (18:1)_1","4.33","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",221140804
"157","LPC (18:1)_2","4.59","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",300790
"158","LPC (18:2)_1","3.39","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",99193285
"159","LPC (18:2)_2","3.64","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",21863265
"160","LPC (18:3)_1","2.68","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",59990697
"161","LPC (18:3)_2","2.89","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",20695357
"162","LPC (18:4)","2.22","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",9281492
"163","LPC (20:1)_1","5.7","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",1430940
"164","LPC (20:1)_2","6","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",1171130
"165","LPC (20:2)_1","4.67","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",4582747
"166","LPC (20:2)_2","4.95","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",83679
"167","LPC (20:3)_1","3.87","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",7258014
"168","LPC (20:3)_2","4.11","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",1447051
