Compound,RT,Type,Filename,Status,Group,Area,RT Delta,m/z (Delta),Group Average,Batch Order,Peak Label,Sample Type,Level,Sample ID,Sample Name,Comments,Height,Actual RT,Formula,Adduct,Calculated Amt,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),Response Ratio,ISTD Amt,ISTD Response,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Channel,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Modification,Protein Name,Peptide Sequence,Ion Type,S/N,Ion Ratio,Relative RT,Flag Details
PC (36:4-20:4_16:0),12.07,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,118993517,-0.03,-3.8639 (ppm),128650624.58,12,T1,Unknown,,1,,,30335725,12.04,,M+H,N/A,N/A,N/A,N/A,782.5694,782.5664,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,1607.89,N/A,0.00,
PC (36:5-20:5_16:0),11.46,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,37226686,-0.06,-3.7636 (ppm),50663896.35,12,T1,Unknown,,1,,,10567175,11.4,,M+H,N/A,N/A,N/A,N/A,780.5538,780.5508,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,134442.32,N/A,0.00,
PC (36:6-22:6_14:0),"10.95,10.95",Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,266722,"-0.13,-0.13",N/A,531077.19,12,,Unknown,,1,,,44676,"10.82, 10.82",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,0.00,
PC (38:4-18:0_20:4),13.19,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,N/F,N/F,N/F,6287728.32,12,T1,Unknown,,1,,,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,810.6013,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,0.00,
PC (38:5-20:4_18:1),12.38,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,2683487,0.04,-2.3363 (ppm),4345670.53,12,T1,Unknown,,1,,,622982,12.42,,M+H,N/A,N/A,N/A,N/A,808.5851,808.5832,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,258.81,N/A,0.00,
PC (38:5-22:5_16:0)_12.07,12.07,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,51933150,-0.04,-3.9969 (ppm),61874497.85,12,T1,Unknown,,1,,,11632770,12.03,,M+H,N/A,N/A,N/A,N/A,808.5851,808.5818,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,3374.11,N/A,0.00,
PC (38:5-22:5_16:0)_12.45,12.45,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,2578857,-0.03,-2.3363 (ppm),842096.06,12,T1,Unknown,,1,,,609459,12.42,,M+H,N/A,N/A,N/A,N/A,808.5851,808.5832,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,249.84,N/A,0.00,
PC (38:6-22:6_16:0),"11.79,11.79",Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,6439195,"-0.03,-0.03",N/A,4340995.61,12,,Unknown,,1,,,1385421,"11.76, 11.76",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,0.00,
PC (38:7-22:6_16:1),"11.13,11.13",Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,202450,"-0.03,N/A",N/A,261933.48,12,,Unknown,,1,,,25653,"11.10, 0.00",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,0.00,
PC (40:6-22:6_18:0),"12.80,12.80",Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,1245122,"-0.11,N/A",N/A,378255.58,12,,Unknown,,1,,,325173,"12.69, 0.00",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,0.00,
PC (40:7-22:6_18:1),"11.95,11.95",Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,1125175,"-0.07,-0.01",N/A,785314.33,12,,Unknown,,1,,,240133,"11.88, 11.94",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,0.00,
PC (40:8-22:6_18:2),"11.38,11.38",Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,25330974,"0.01,0.01",N/A,10509548.60,12,,Unknown,,1,,,7394964,"11.39, 11.39",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,0.00,
PC (40:9-22:6_18:3),"10.65,10.65",Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,35746,"-0.04,N/A",N/A,41068.20,12,,Unknown,,1,,,8646,"10.61, 0.00",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,0.00,
PC (42:10-22:6_20:4),"10.98,10.98",Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,N/F,"N/A,N/A",N/F,98544.93,12,,Unknown,,1,,,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,<multiple>,N/F,N/F,0,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,0.00,
PC (44:12-22:6_22:6)_10.93,"10.93,10.93",Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,N/F,"N/A,N/A",N/F,5703.73,12,,Unknown,,1,,,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,<multiple>,N/F,N/F,0,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,0.00,
PC (44:12-22:6_22:6)_11.70,"11.70,11.70",Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,16543,"0.02,N/A",N/A,20935.52,12,,Unknown,,1,,,9454,"11.72, 0.00",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,0.00,
PE (34:1-18:1_16:0),13.26,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,3789504,0.00,-2.9494 (ppm),4092618.16,12,T1,Unknown,,1,,,587908,13.26,,M+H,N/A,N/A,N/A,N/A,718.5381,718.536,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,11945.49,N/A,0.00,
PE (34:2-18:2_16:0),12.41,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,5298001,-0.02,-3.9450 (ppm),5531019.33,12,T1,Unknown,,1,,,1482516,12.39,,M+H,N/A,N/A,N/A,N/A,716.5225,716.5197,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
PE (36:1-18:1_18:0),14.45,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,8542465,0.00,-2.3334 (ppm),9487142.64,12,T1,Unknown,,1,,,1566092,14.45,,M+H,N/A,N/A,N/A,N/A,746.5694,746.5677,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,1828.09,N/A,0.00,
PE (36:2-18:1_18:1),13.48,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,53623153,0.00,-.0108 (ppm),54624530.98,12,T1,Unknown,,1,,,12988132,13.48,,M+H,N/A,N/A,N/A,N/A,744.5538,744.5538,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
PE (36:2-18:2_18:0),13.51,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,53623153,-0.03,-.0108 (ppm),54618703.48,12,T1,Unknown,,1,,,12988132,13.48,,M+H,N/A,N/A,N/A,N/A,744.5538,744.5538,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,706601.42,N/A,0.00,
PE (36:3-18:2_18:1),12.62,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,11631128,-0.02,.1051 (ppm),12338686.94,12,T1,Unknown,,1,,,3000242,12.6,,M+H,N/A,N/A,N/A,N/A,742.5381,742.5382,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
PE (36:4-20:4_16:0),12.33,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,1389590,-0.02,-3.7347 (ppm),1708729.19,12,T1,Unknown,,1,,,357794,12.31,,M+H,N/A,N/A,N/A,N/A,740.5225,740.5197,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
PE (38:3-20:3_18:0),13.82,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,N/F,N/F,N/F,1949868.41,12,T1,Unknown,,1,,,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,770.5694,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,0.00,
PE (38:4-20:4_18:0),13.38,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,67491401,-0.01,-2.7900 (ppm),72287108.90,12,T1,Unknown,,1,,,15360861,13.37,,M+H,N/A,N/A,N/A,N/A,768.5538,768.5516,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
PE (38:5-20:4_18:1ev20:5_18:0),12.57,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,11574472,0.00,1.8535 (ppm),17071949.31,12,T1,Unknown,,1,,,1727295,12.57,,M+H,N/A,N/A,N/A,N/A,766.5381,766.5396,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
PE (38:5-22:5_16:0),12.31,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,419381,-0.02,-1.3315 (ppm),768995.55,12,T1,Unknown,,1,,,109964,12.29,,M+H,N/A,N/A,N/A,N/A,766.5381,766.5371,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
PE (38:6-20:5_18:1ev20:4_18:2),11.82,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,147412,-0.02,-.1846 (ppm),557731.61,12,T1,Unknown,,1,,,72221,11.8,,M+H,N/A,N/A,N/A,N/A,764.5225,764.5223,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
PE (38:6-22:6_16:0),12.03,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,N/F,N/F,N/F,24664.84,12,T1,Unknown,,1,,,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,764.5225,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,0.00,
PE (40:5-22:5_18:0),13.33,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,6850028,-0.03,-1.2706 (ppm),12379745.71,12,T1,Unknown,,1,,,1408466,13.3,,M+H,N/A,N/A,N/A,N/A,794.5694,794.5684,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,16774.35,N/A,0.00,
PE (40:6-22:5_18:1),12.48,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,291951,-0.01,-2.4745 (ppm),450088.22,12,T1,Unknown,,1,,,136727,12.47,,M+H,N/A,N/A,N/A,N/A,792.5538,792.5518,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
PI (36:1-18:1_18:0),12.66,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,7021698,0.03,-3.6458 (ppm),2145236.33,12,T1,Unknown,,1,,,1334022,12.69,,M+H,N/A,N/A,N/A,N/A,865.5801,865.5769,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
PI (36:2-18:2_18:0),12.03,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,2133876,0.00,-3.6960 (ppm),1881627.54,12,T1,Unknown,,1,,,497973,12.03,,M+H,N/A,N/A,N/A,N/A,863.5644,863.5612,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,10994.99,N/A,0.00,
PI (38:4-18:0_20:4),11.98,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,5215376,-0.03,-3.5160 (ppm),4144285.71,12,T1,Unknown,,1,,,1422514,11.95,,M+H,N/A,N/A,N/A,N/A,887.5644,887.5613,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
PI (38:5-18:0_20:5),11.4,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,1713437,-0.03,-4.0267 (ppm),1776235.83,12,T1,Unknown,,1,,,506239,11.37,,M+NH4,N/A,N/A,N/A,N/A,902.5759,902.5723,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
P-PC (32:0)_nurExactMass,12.25,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,63380,0.09,-14.0095 (ppm),50391.36,12,T1,Unknown,,1,,,39542,12.34,,M+H,N/A,N/A,N/A,N/A,718.5745,718.5645,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
P-PC (34:0),13.71,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,145073590,-0.04,-3.5770 (ppm),85121303.40,12,T1,Unknown,,1,,,21803624,13.67,,M+H,N/A,N/A,N/A,N/A,746.6058,746.6031,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,3535.02,N/A,0.00,
P-PE (34:1-P16:0_18:1),13.96,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,20088589,-0.01,-3.7458 (ppm),14336512.47,12,T1,Unknown,,1,,,3443762,13.95,,M+H,N/A,N/A,N/A,N/A,702.5432,702.5406,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
P-PE (34:2-P16:0_18:2),13.01,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,80200095,0.01,-4.1566 (ppm),57976812.00,12,T1,Unknown,,1,,,17037161,13.02,,M+H,N/A,N/A,N/A,N/A,700.5276,700.5247,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
P-PE (34:3-P16:0_18:3),12.25,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,8371581,-0.03,-3.6959 (ppm),13212957.60,12,T1,Unknown,,1,,,1648202,12.22,,M+H,N/A,N/A,N/A,N/A,698.5119,698.5093,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
P-PE (36:0)_nurExactmass,15.31,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,433453,0.07,-1.4451 (ppm),605290.64,12,T1,Unknown,,1,,,74799,15.38,,M+H,N/A,N/A,N/A,N/A,732.5902,732.5891,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,5073.61,N/A,0.00,
P-PE (36:1-P18:0_18:1),15.25,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,17926386,0.00,-2.7516 (ppm),13216441.57,12,T1,Unknown,,1,,,2909080,15.25,,M+H,N/A,N/A,N/A,N/A,730.5745,730.5725,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,2906.04,N/A,0.00,
P-PE (36:2-P18:0_18:2),14.19,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,148890007,0.01,-3.7302 (ppm),104507615.89,12,T1,Unknown,,1,,,30286717,14.2,,M+H,N/A,N/A,N/A,N/A,728.5589,728.5562,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,8714.01,N/A,0.00,
P-PE (36:2-P18:1_18:1),14.16,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,148890007,0.04,-3.7302 (ppm),104489419.76,12,T1,Unknown,,1,,,30286717,14.2,,M+H,N/A,N/A,N/A,N/A,728.5589,728.5562,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,9182.58,N/A,0.00,
P-PE (36:3-18:2_P18:1ev18:3_18:0),13.31,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,28181118,-0.02,-3.2021 (ppm),43976494.28,12,T1,Unknown,,1,,,5327570,13.29,,M+H,N/A,N/A,N/A,N/A,726.5432,726.5409,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,2169.77,N/A,0.00,
P-PE (36:4-P16:0_20:4)_12.94,"12.90,12.35",Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,35724661,"-0.04,0.04",N/A,32406243.78,12,,Unknown,,1,,,7724961,"12.86, 12.39",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,0.00,
P-PE (36:4-P16:0_20:4ev18:3_P18:1ev18:2_P18:2)_12.52,12.52,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,1427266,-0.02,-3.7662 (ppm),4298862.88,12,T1,Unknown,,1,,,321950,12.5,,M+H,N/A,N/A,N/A,N/A,724.5276,724.5248,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,51.79,N/A,0.00,
P-PE (36:4-P18:1_18:3)_12.41,12.41,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,2713430,-0.02,-3.8076 (ppm),2766801.53,12,T1,Unknown,,1,,,605150,12.39,,M+H,N/A,N/A,N/A,N/A,724.5276,724.5248,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,106.31,N/A,0.00,
P-PE (36:5-P16:0_20:5),12.15,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,7983253,-0.04,-3.6576 (ppm),11966078.73,12,T1,Unknown,,1,,,1994030,12.11,,M+H,N/A,N/A,N/A,N/A,722.5119,722.5093,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
P-PE (38:3-P18:0_20:3)_14.52,14.52,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,7710433,0.00,-2.9067 (ppm),8092361.07,12,T1,Unknown,,1,,,1447684,14.52,,M+H,N/A,N/A,N/A,N/A,754.5745,754.5723,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,3241.17,N/A,0.00,
P-PE (38:3-P18:0_20:3)_15.01,15.01,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,1231141,-0.02,-2.4214 (ppm),824109.12,12,T1,Unknown,,1,,,222009,14.99,,M+H,N/A,N/A,N/A,N/A,754.5745,754.5727,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,11108.03,N/A,0.00,
P-PE (38:4-P18:0_20:4),13.61,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,5760263,0.05,-3.9356 (ppm),5476620.32,12,T1,Unknown,,1,,,670290,13.66,,M+H,N/A,N/A,N/A,N/A,752.5589,752.5559,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,423.51,N/A,0.00,
P-PE (38:4-P18:0_20:4evP18:1_20:3),14.03,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,59815122,0.00,-3.4889 (ppm),49503203.26,12,T1,Unknown,,1,,,11773911,14.03,,M+H,N/A,N/A,N/A,N/A,752.5589,752.5563,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,2096.30,N/A,0.00,
P-PE (38:5-P16:0_22:5),"12.86,12.85",Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,24511117,"-0.03,-0.02",N/A,27661477.95,12,,Unknown,,1,,,5663731,"12.83, 12.83",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,0.00,
P-PE (38:5-P18:0_20:5),13.19,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,19844587,-0.04,-3.7503 (ppm),28010808.21,12,T1,Unknown,,1,,,4346404,13.15,,M+H,N/A,N/A,N/A,N/A,750.5432,750.5404,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,119317.42,N/A,0.00,
P-PE (38:5-P18:1_20:4ev18:0_20:5),12.61,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,N/F,N/F,N/F,164700.91,12,T1,Unknown,,1,,,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,750.5432,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,0.00,
P-PE (38:6-P18:0_20:6),12.54,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,1100198,-0.04,-3.3193 (ppm),1022913.82,12,T1,Unknown,,1,,,231631,12.5,,M+H,N/A,N/A,N/A,N/A,748.5276,748.5251,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
P-PE (38:6-P18:1_20:5),12.36,Target Compound,190731_lipids_fisch_fleisch_probe3_2_pos,Processed,fleisch,2881784,-0.07,-3.4823 (ppm),2900691.22,12,T1,Unknown,,1,,,405401,12.29,,M+H,N/A,N/A,N/A,N/A,748.5276,748.525,0,0,N/A,Method,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,,,,INF,N/A,0.00,
